codigo_producto,metodo,tiene_hiperparametros,n_scores_aci,alpha_aci
TG00714N103P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N201P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00714N202P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N203P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N301E,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00714N301P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N302P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N303P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00714N401E,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N401P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00714N402P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N403P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N501P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00714N502P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N503P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N601E,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N601P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N602P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N603P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N701E,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N701P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N702P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N703P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N801E,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N801P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N802P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714N803P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NA01E,ANIO_ANTERIOR,False,12,0.060000000000000026
TG00714NA01P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NA02P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NA03P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00714NB01E,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NB01P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NB02P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NB03P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00714NC01P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NC02P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NC03P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714ND01E,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714ND01P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00714ND02P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714ND03P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NE01E,ANIO_ANTERIOR,False,12,0.060000000000000026
TG00714NE01P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NE02P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NE03P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NES3P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NF01E,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NF01P,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00714NF02P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NF03P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NG01E,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00714NG01P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NG02P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NG03P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NH01E,ANIO_ANTERIOR,False,12,0.11000000000000004
TG00714NH01P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NH02P,ANIO_ANTERIOR,False,12,0.16000000000000006
TG00714NH03P,ANIO_ANTERIOR,False,12,0.11000000000000004
